S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
2218,June,2023-06-01,Thursday,2023-06-02,Chuttupalu,Nil,Jharkhand,"23.55822930484313, 85.51819526709328",TWO WHEELER,TRUCK,1,4,,MALE,NH,Head On Collision,23.55822930484313,85.51819526709328,,,,,VEHICLE,2023,6,3
2220,June,2023-06-01,Thursday,2023-06-03,Nemawar Road,Indore,Madhya Pradesh,"22.6816174328255, 75.91844288078036",TWO WHEELER,BUS,3,0,,MALE,SH,Head On Collision,22.6816174328255,75.91844288078036,,,,,VEHICLE,2023,6,3
2222,June,2023-06-03,Saturday,2023-06-03,Pulicherla,Nil,Andhra Pradesh,"13.599974583481439, 79.04166918566283",SUV,TRUCK,4,8,,,SH,Head On Collision,13.59997458348144,79.04166918566283,,,,,VEHICLE,2023,6,5
2224,June,2023-06-04,Sunday,2023-06-04,Dehat,Nil,Uttar Pradesh,"27.430886099799, 82.18028626782547",VAN,NIL,1,11,45,FEMALE,NH,Run Off Road,27.430886099799,82.18028626782547,1.0,45.0,45.0,45.0,UNKNOWN,2023,6,6
2225,June,2023-06-02,Friday,2023-06-04,Dhamna,Nil,Maharashtra,"21.137338770033, 78.84364499167924",PEDESTRIAN,BUS,1,0,10,MALE,NH,Hit and Run,21.137338770033,78.84364499167924,1.0,10.0,10.0,10.0,VEHICLE,2023,6,4
2226,June,2023-06-02,Friday,2023-06-04,Awasthi Nagar,Nagpur,Maharashtra,"21.18648474209671, 79.0697431617838",TWO WHEELER,CAR,1,0,16,MALE,SH,Hit From Side,21.18648474209671,79.0697431617838,1.0,16.0,16.0,16.0,VEHICLE,2023,6,4
2228,June,2023-06-05,Monday,2023-06-05,Perambalur,Nil,Tamil Nadu,"11.230915053951833, 78.89193494330785",AMBULANCE,VAN,3,5,"60,22,45",BOTH,NH,Hit From Side,11.230915053951833,78.89193494330785,3.0,42.333333333333336,22.0,60.0,VEHICLE,2023,6,0
2229,June,2023-06-05,Monday,2023-06-05,Jagtial,Nil,Telangana,"18.79004629083924, 78.91567433760554",TWO WHEELER,DIVIDER,2,0,,MALE,NH,Fixed Object Collision,18.79004629083924,78.91567433760554,,,,,OBJECT,2023,6,0
2230,June,2023-06-03,Saturday,2023-06-05,Kancheepuram,Nil,Tamil Nadu,"12.818942558404942, 79.6939373649415",SUV,TRUCK,5,1,"35,28,5,3",BOTH,SH,With Parked Vehicle,12.818942558404942,79.6939373649415,4.0,17.75,3.0,35.0,VEHICLE,2023,6,5
2233,June,2023-06-03,Saturday,2023-06-05,Mouda,Nil,Maharashtra,"21.15219895095875, 79.39686137048565",TWO WHEELER,TRUCK,2,0,"60,16",BOTH,SH,Hit From Back,21.15219895095875,79.39686137048565,2.0,38.0,16.0,60.0,VEHICLE,2023,6,5
2234,June,2023-06-06,Tuesday,2023-06-06,Balichakra Cross,Nil,Karnataka,"16.677020159979705, 77.2576421846236",SUV,LORRY,5,13,"50,12,4,8,32",BOTH,NH,With Parked Vehicle,16.677020159979705,77.2576421846236,5.0,21.2,4.0,50.0,VEHICLE,2023,6,1
